Compound_1_SMILES,Compound_1_Name,Compound_1_WT%,Compound_2_SMILES,Compound_2_Name,Compound_2_WT%,Compound_3_SMILES,Compound_3_Name,Compound_3_WT%,Target_Property,Sample_ID,Total_WT%,Notes
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,17.11,CC1=CC=CC=C1,Toluene,42.82,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,40.07,-1.989,MIX0001,100.0,Synthetic mixture data
CCO,Ethanol,29.74,CC(C)O,Isopropanol,37.34,c1ccccc1,Benzene,32.91,2.008,MIX0002,99.99,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,18.64,c1ccccc1,Benzene,38.12,CC1=CC=CC=C1,Toluene,43.24,1.341,MIX0003,100.0,Synthetic mixture data
CCO,Ethanol,27.31,CC(=O)Oc1ccccc1C(=O)O,Aspirin,39.27,CC(C)O,Isopropanol,33.42,0.504,MIX0004,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,36.37,CC(C)O,Isopropanol,51.63,CCC1=CC(=C(C=C1)O)C=O,Vanillin,12.01,3.2,MIX0005,100.01,Synthetic mixture data
c1ccccc1,Benzene,33.87,CC(=O)Oc1ccccc1C(=O)O,Aspirin,37.41,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,28.72,2.441,MIX0006,100.0,Synthetic mixture data
CC(C)O,Isopropanol,31.81,CCC1=CC(=C(C=C1)O)C=O,Vanillin,32.44,c1ccccc1,Benzene,35.75,2.708,MIX0007,100.0,Synthetic mixture data
CC1=CC=CC=C1,Toluene,33.83,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,10.39,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,55.78,2.057,MIX0008,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,30.45,CC1=CC=CC=C1,Toluene,28.42,CCO,Ethanol,41.13,0.315,MIX0009,100.0,Synthetic mixture data
CC(C)O,Isopropanol,42.09,CC1=CC=CC=C1,Toluene,45.91,c1ccccc1,Benzene,12.0,1.489,MIX0010,100.0,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,58.59,CC(C)O,Isopropanol,17.71,CCC1=CC(=C(C=C1)O)C=O,Vanillin,23.7,0.137,MIX0011,100.00000000000001,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,23.9,CC(=O)Oc1ccccc1C(=O)O,Aspirin,52.05,CCO,Ethanol,24.05,0.021,MIX0012,99.99999999999999,Synthetic mixture data
CC(C)O,Isopropanol,51.57,CC(C)O,Isopropanol,35.38,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,13.04,3.547,MIX0013,99.99000000000001,Synthetic mixture data
CC(C)O,Isopropanol,44.02,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,33.49,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,22.49,3.385,MIX0014,100.0,Synthetic mixture data
c1ccccc1,Benzene,18.4,c1ccccc1,Benzene,44.91,CC(C)O,Isopropanol,36.69,-0.188,MIX0015,100.0,Synthetic mixture data
CC1=CC=CC=C1,Toluene,13.0,CCO,Ethanol,57.03,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,29.97,2.449,MIX0016,100.0,Synthetic mixture data
CCO,Ethanol,32.61,CC(C)O,Isopropanol,36.59,CCC1=CC(=C(C=C1)O)C=O,Vanillin,30.8,2.878,MIX0017,100.0,Synthetic mixture data
