Compound_1_SMILES,Compound_1_Name,Compound_1_WT%,Compound_2_SMILES,Compound_2_Name,Compound_2_WT%,Compound_3_SMILES,Compound_3_Name,Compound_3_WT%,Target_Property,Sample_ID,Total_WT%,Notes
CC(C)O,Isopropanol,31.64,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,42.56,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,25.8,3.982,MIX0001,100.0,Synthetic mixture data
CCO,Ethanol,41.07,CCO,Ethanol,43.58,c1ccccc1,Benzene,15.36,-1.698,MIX0002,100.01,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,26.02,CCC1=CC(=C(C=C1)O)C=O,Vanillin,24.3,CC(=O)Oc1ccccc1C(=O)O,Aspirin,49.68,0.618,MIX0003,100.0,Synthetic mixture data
c1ccccc1,Benzene,44.75,c1ccccc1,Benzene,19.21,CC1=CC=CC=C1,Toluene,36.04,-0.444,MIX0004,100.0,Synthetic mixture data
CCO,Ethanol,42.27,CCC1=CC(=C(C=C1)O)C=O,Vanillin,39.32,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,18.4,0.502,MIX0005,99.99000000000001,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,28.89,CC(C)O,Isopropanol,28.97,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,42.14,6.948,MIX0006,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,35.01,CCO,Ethanol,21.45,CC(C)O,Isopropanol,43.53,3.706,MIX0007,99.99,Synthetic mixture data
CC(C)O,Isopropanol,25.27,CC(=O)Oc1ccccc1C(=O)O,Aspirin,31.01,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,43.73,1.045,MIX0008,100.00999999999999,Synthetic mixture data
c1ccccc1,Benzene,39.35,CC1=CC=CC=C1,Toluene,24.98,CCO,Ethanol,35.67,0.391,MIX0009,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,33.71,c1ccccc1,Benzene,58.55,CCC1=CC(=C(C=C1)O)C=O,Vanillin,7.74,1.756,MIX0010,99.99999999999999,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,38.79,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,7.75,c1ccccc1,Benzene,53.46,0.08,MIX0011,100.0,Synthetic mixture data
CC(C)O,Isopropanol,31.75,CCO,Ethanol,15.77,CCC1=CC(=C(C=C1)O)C=O,Vanillin,52.48,2.273,MIX0012,100.0,Synthetic mixture data
c1ccccc1,Benzene,32.98,CCO,Ethanol,36.51,CC1=CC=CC=C1,Toluene,30.51,2.51,MIX0013,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,64.78,CCC1=CC(=C(C=C1)O)C=O,Vanillin,15.28,CC1=CC=CC=C1,Toluene,19.94,2.739,MIX0014,100.0,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,23.23,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,36.94,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,39.83,0.286,MIX0015,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,45.87,CCO,Ethanol,7.78,c1ccccc1,Benzene,46.34,1.207,MIX0016,99.99000000000001,Synthetic mixture data
c1ccccc1,Benzene,25.79,CC(C)O,Isopropanol,19.2,c1ccccc1,Benzene,55.01,1.048,MIX0017,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,40.27,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,33.02,CC1=CC=CC=C1,Toluene,26.72,-1.944,MIX0018,100.01,Synthetic mixture data
CC1=CC=CC=C1,Toluene,48.27,CCO,Ethanol,12.22,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,39.51,2.737,MIX0019,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,33.93,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,9.01,CC(=O)Oc1ccccc1C(=O)O,Aspirin,57.06,-0.817,MIX0020,100.0,Synthetic mixture data
CC(C)O,Isopropanol,43.84,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,32.22,CC1=CC=CC=C1,Toluene,23.94,1.567,MIX0021,100.0,Synthetic mixture data
CC1=CC=CC=C1,Toluene,16.15,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,70.87,CC(=O)Oc1ccccc1C(=O)O,Aspirin,12.99,0.6,MIX0022,100.01,Synthetic mixture data
c1ccccc1,Benzene,40.57,CC(=O)Oc1ccccc1C(=O)O,Aspirin,37.42,CC(C)O,Isopropanol,22.02,2.997,MIX0023,100.01,Synthetic mixture data
CCO,Ethanol,10.03,CC(C)O,Isopropanol,35.98,CCO,Ethanol,53.98,0.457,MIX0024,99.99,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,40.57,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,20.11,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,39.32,0.646,MIX0025,100.0,Synthetic mixture data
CCO,Ethanol,7.0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,50.24,CCO,Ethanol,42.76,3.778,MIX0026,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,40.11,CC(=O)Oc1ccccc1C(=O)O,Aspirin,38.57,CCO,Ethanol,21.33,4.144,MIX0027,100.01,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,41.95,CC1=CC=CC=C1,Toluene,39.82,CC1=CC=CC=C1,Toluene,18.22,1.231,MIX0028,99.99000000000001,Synthetic mixture data
c1ccccc1,Benzene,36.07,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,35.46,CC1=CC=CC=C1,Toluene,28.47,3.582,MIX0029,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,20.74,CC(C)O,Isopropanol,39.03,CC(=O)Oc1ccccc1C(=O)O,Aspirin,40.22,3.925,MIX0030,99.99,Synthetic mixture data
