Compound_1_SMILES,Compound_1_Name,Compound_1_WT%,Compound_2_SMILES,Compound_2_Name,Compound_2_WT%,Compound_3_SMILES,Compound_3_Name,Compound_3_WT%,Temperature_C,Humidity_%,Pressure_MPa,Stirring_rpm,Target_Property,Sample_ID,Total_WT%,Notes
CCC1=CC(=C(C=C1)O)C=O,Vanillin,36.14,CC(=O)Oc1ccccc1C(=O)O,Aspirin,47.92,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,15.94,41.95,36.18,0.268,615.4,3.409,MIX_NUM0001,100.0,Synthetic mixture data with numeric conditions
CCC1=CC(=C(C=C1)O)C=O,Vanillin,35.88,CCO,Ethanol,44.25,CC1=CC=CC=C1,Toluene,19.87,61.74,44.84,1.114,785.8,9.039,MIX_NUM0002,100.0,Synthetic mixture data with numeric conditions
CCC1=CC(=C(C=C1)O)C=O,Vanillin,38.62,CCC1=CC(=C(C=C1)O)C=O,Vanillin,47.64,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,13.74,58.23,62.48,0.316,234.4,6.121,MIX_NUM0003,99.99999999999999,Synthetic mixture data with numeric conditions
CC1=CC=CC=C1,Toluene,48.0,CC1=CC=CC=C1,Toluene,44.23,c1ccccc1,Benzene,7.77,74.05,41.1,1.569,893.2,9.35,MIX_NUM0004,99.99999999999999,Synthetic mixture data with numeric conditions
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,30.03,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,35.11,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,34.87,82.2,30.74,0.61,594.1,10.262,MIX_NUM0005,100.00999999999999,Synthetic mixture data with numeric conditions
CC(=O)Oc1ccccc1C(=O)O,Aspirin,29.39,c1ccccc1,Benzene,30.73,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,39.88,73.53,21.9,1.123,111.5,5.557,MIX_NUM0006,100.0,Synthetic mixture data with numeric conditions
CCO,Ethanol,47.53,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,7.59,c1ccccc1,Benzene,44.88,75.03,70.69,0.981,172.0,4.626,MIX_NUM0007,100.0,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,12.4,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,43.01,CCC1=CC(=C(C=C1)O)C=O,Vanillin,44.59,38.73,65.6,0.27,906.6,6.828,MIX_NUM0008,100.0,Synthetic mixture data with numeric conditions
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,34.48,CCO,Ethanol,30.9,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,34.62,37.14,52.54,1.162,239.2,6.149,MIX_NUM0009,100.0,Synthetic mixture data with numeric conditions
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,36.05,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,25.96,CC(C)O,Isopropanol,37.99,84.12,46.15,1.336,598.2,7.75,MIX_NUM0010,100.0,Synthetic mixture data with numeric conditions
