Compound_1_SMILES,Compound_1_Name,Compound_1_WT%,Compound_2_SMILES,Compound_2_Name,Compound_2_WT%,Compound_3_SMILES,Compound_3_Name,Compound_3_WT%,Temperature_C,Humidity_%,Pressure_MPa,Stirring_rpm,Target_Property,Sample_ID,Total_WT%,Notes
CCC1=CC(=C(C=C1)O)C=O,Vanillin,48.11,CC1=CC=CC=C1,Toluene,6.19,CCO,Ethanol,45.71,21.43,78.46,1.715,417.4,5.776,MIX_NUM0001,100.00999999999999,Synthetic mixture data with numeric conditions
CC1=CC=CC=C1,Toluene,43.79,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,20.67,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,35.54,41.82,40.99,1.338,412.2,5.669,MIX_NUM0002,100.0,Synthetic mixture data with numeric conditions
CC1=CC=CC=C1,Toluene,14.3,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,24.24,CC1=CC=CC=C1,Toluene,61.46,56.99,21.0,0.193,265.3,1.776,MIX_NUM0003,100.0,Synthetic mixture data with numeric conditions
CC(=O)Oc1ccccc1C(=O)O,Aspirin,38.29,c1ccccc1,Benzene,33.81,c1ccccc1,Benzene,27.91,70.79,39.26,0.502,939.5,5.901,MIX_NUM0004,100.00999999999999,Synthetic mixture data with numeric conditions
c1ccccc1,Benzene,31.19,CCC1=CC(=C(C=C1)O)C=O,Vanillin,16.99,c1ccccc1,Benzene,51.82,51.84,62.03,0.483,442.7,4.125,MIX_NUM0005,100.0,Synthetic mixture data with numeric conditions
CCO,Ethanol,24.07,CC(=O)Oc1ccccc1C(=O)O,Aspirin,38.38,CC(C)O,Isopropanol,37.55,50.85,54.65,1.039,809.2,9.609,MIX_NUM0006,100.0,Synthetic mixture data with numeric conditions
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,8.55,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,48.43,CC(C)O,Isopropanol,43.03,55.27,55.16,0.485,215.5,3.326,MIX_NUM0007,100.01,Synthetic mixture data with numeric conditions
CCC1=CC(=C(C=C1)O)C=O,Vanillin,9.19,c1ccccc1,Benzene,40.24,CCC1=CC(=C(C=C1)O)C=O,Vanillin,50.57,54.67,72.36,0.63,713.0,4.586,MIX_NUM0008,100.0,Synthetic mixture data with numeric conditions
CCO,Ethanol,32.09,CC(C)O,Isopropanol,32.89,CCO,Ethanol,35.03,54.28,61.68,1.317,697.2,9.151,MIX_NUM0009,100.01,Synthetic mixture data with numeric conditions
CCO,Ethanol,40.61,CCC1=CC(=C(C=C1)O)C=O,Vanillin,15.44,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,43.95,28.91,48.76,0.654,231.4,0.977,MIX_NUM0010,100.0,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,32.86,CC(C)O,Isopropanol,21.02,CC(=O)Oc1ccccc1C(=O)O,Aspirin,46.12,76.01,29.93,1.631,666.7,10.55,MIX_NUM0011,100.0,Synthetic mixture data with numeric conditions
CC(=O)Oc1ccccc1C(=O)O,Aspirin,34.55,c1ccccc1,Benzene,41.38,CC(C)O,Isopropanol,24.08,71.32,33.73,1.731,830.8,9.073,MIX_NUM0012,100.01,Synthetic mixture data with numeric conditions
CCC1=CC(=C(C=C1)O)C=O,Vanillin,25.25,CC(C)O,Isopropanol,29.6,CC1=CC=CC=C1,Toluene,45.15,26.03,73.29,0.111,942.2,4.242,MIX_NUM0013,100.0,Synthetic mixture data with numeric conditions
CCC1=CC(=C(C=C1)O)C=O,Vanillin,41.71,CCC1=CC(=C(C=C1)O)C=O,Vanillin,10.12,CCC1=CC(=C(C=C1)O)C=O,Vanillin,48.17,78.86,70.6,1.403,479.2,8.237,MIX_NUM0014,100.0,Synthetic mixture data with numeric conditions
c1ccccc1,Benzene,31.69,CCO,Ethanol,36.03,CCO,Ethanol,32.27,45.76,35.72,1.444,766.1,5.738,MIX_NUM0015,99.99000000000001,Synthetic mixture data with numeric conditions
CC(=O)Oc1ccccc1C(=O)O,Aspirin,38.7,CC(=O)Oc1ccccc1C(=O)O,Aspirin,26.41,CC(=O)Oc1ccccc1C(=O)O,Aspirin,34.89,68.27,50.54,0.316,206.0,4.921,MIX_NUM0016,100.0,Synthetic mixture data with numeric conditions
CC1=CC=CC=C1,Toluene,37.01,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,34.54,CC(=O)Oc1ccccc1C(=O)O,Aspirin,28.45,65.25,79.66,0.244,483.0,7.075,MIX_NUM0017,100.0,Synthetic mixture data with numeric conditions
