Compound_1_SMILES,Compound_1_Name,Compound_1_WT%,Compound_2_SMILES,Compound_2_Name,Compound_2_WT%,Compound_3_SMILES,Compound_3_Name,Compound_3_WT%,Temperature_C,Humidity_pct,Pressure_atm,pH,StirringSpeed_rpm,ReactionTime_h,Boiling_Point_C,Sample_ID,Total_WT%,Notes
CCO,Ethanol,24.29,CC1=CC=CC=C1,Toluene,36.95,CCO,Ethanol,38.76,31.9,33.16,1.905,5.37,818.5,12.31,1.253,MIX_DBG0001,100.0,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,28.18,CC1=CC=CC=C1,Toluene,51.96,CC1=CC=CC=C1,Toluene,19.86,78.64,66.92,1.613,9.91,850.2,6.54,0.66,MIX_DBG0002,100.0,Synthetic mixture data with numeric features for debugging
CC(=O)Oc1ccccc1C(=O)O,Aspirin,47.15,CC(C)O,Isopropanol,10.64,c1ccccc1,Benzene,42.2,25.78,36.46,1.455,5.02,565.4,23.95,1.865,MIX_DBG0003,99.99000000000001,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,42.46,CCC1=CC(=C(C=C1)O)C=O,Vanillin,45.12,CCO,Ethanol,12.42,40.5,40.19,0.976,4.78,772.7,5.69,2.91,MIX_DBG0004,100.0,Synthetic mixture data with numeric features for debugging
CC(=O)Oc1ccccc1C(=O)O,Aspirin,38.6,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,22.1,CC(=O)Oc1ccccc1C(=O)O,Aspirin,39.29,46.21,47.99,1.511,9.48,342.5,4.9,4.718,MIX_DBG0005,99.99000000000001,Synthetic mixture data with numeric features for debugging
CC1=CC=CC=C1,Toluene,25.3,CC(=O)Oc1ccccc1C(=O)O,Aspirin,52.71,CC1=CC=CC=C1,Toluene,21.98,56.12,44.06,1.484,9.38,146.5,9.98,3.341,MIX_DBG0006,99.99000000000001,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,41.38,c1ccccc1,Benzene,15.84,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,42.78,54.18,51.75,1.767,6.49,801.3,16.19,4.358,MIX_DBG0007,100.0,Synthetic mixture data with numeric features for debugging
c1ccccc1,Benzene,40.54,CC(C)O,Isopropanol,18.98,CCC1=CC(=C(C=C1)O)C=O,Vanillin,40.48,26.09,34.36,1.087,7.28,814.1,6.14,0.557,MIX_DBG0008,100.0,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,15.87,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,55.89,CC(C)O,Isopropanol,28.24,21.21,59.84,1.012,8.92,383.8,14.35,2.674,MIX_DBG0009,100.0,Synthetic mixture data with numeric features for debugging
c1ccccc1,Benzene,10.34,CC(=O)Oc1ccccc1C(=O)O,Aspirin,52.19,CC1=CC=CC=C1,Toluene,37.48,38.32,80.28,1.81,8.05,814.2,9.24,1.124,MIX_DBG0010,100.00999999999999,Synthetic mixture data with numeric features for debugging
CC(=O)Oc1ccccc1C(=O)O,Aspirin,31.0,CC1=CC=CC=C1,Toluene,11.15,CCC1=CC(=C(C=C1)O)C=O,Vanillin,57.84,51.44,89.08,1.254,8.65,942.9,17.15,5.907,MIX_DBG0011,99.99000000000001,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,26.19,c1ccccc1,Benzene,32.76,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,41.04,70.52,73.62,1.389,4.15,913.9,20.73,6.8,MIX_DBG0012,99.99000000000001,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,59.23,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,8.29,CCO,Ethanol,32.48,65.11,38.31,0.899,8.79,881.2,7.92,2.478,MIX_DBG0013,100.0,Synthetic mixture data with numeric features for debugging
CC(C)O,Isopropanol,15.61,c1ccccc1,Benzene,45.61,c1ccccc1,Benzene,38.78,70.25,89.31,1.625,6.29,692.0,6.11,6.356,MIX_DBG0014,100.0,Synthetic mixture data with numeric features for debugging
