Compound_1_Name,Compound_1_SMILES,Compound_1_WT%,Compound_2_Name,Compound_2_SMILES,Compound_2_WT%,Compound_3_Name,Compound_3_SMILES,Compound_3_WT%,Compound_4_Name,Compound_4_SMILES,Compound_4_WT%,Pressure_atm,ReactionTime_h,Sample_ID,StirringSpeed_rpm,Target_Yield_pct,Temperature_C,pH
Aspirin,CC(=O)Oc1ccccc1C(=O)O,54.77,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,45.23,,,,,,,0.63,19.35,MIX_SMILES_NUM_0001,455,91.77,63.3,7.87
Isopropanol,CC(C)C,32.88,Aspirin,CC(=O)Oc1ccccc1C(=O)O,24.69,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,42.44,,,,2.43,5.13,MIX_SMILES_NUM_0002,307,81.66,64.4,3.12
Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,19.99,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,27.7,Acetic Acid,CC(=O)O,26.13,Benzene,c1ccccc1,26.17,0.97,10.18,MIX_SMILES_NUM_0003,957,83.71,62.0,3.45
Benzene,c1ccccc1,34.48,Isopropanol,CC(C)C,65.52,,,,,,,2.5,17.58,MIX_SMILES_NUM_0004,470,76.12,78.9,6.49
Ethanol,CCO,50.38,Benzene,c1ccccc1,43.2,Cyclohexane,C1CCCCC1,6.42,,,,3.15,10.74,MIX_SMILES_NUM_0005,920,95.16,33.5,8.83
Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,38.65,Ethanol,CCO,11.36,Aspirin,CC(=O)Oc1ccccc1C(=O)O,49.99,,,,1.33,43.62,MIX_SMILES_NUM_0006,211,96.38,30.3,5.08
Acetic Acid,CC(=O)O,22.02,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,27.5,Benzene,c1ccccc1,26.74,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,23.74,2.39,26.14,MIX_SMILES_NUM_0007,868,81.33,98.6,9.25
Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,27.81,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,28.67,Ethanol,CCO,43.52,,,,1.26,38.93,MIX_SMILES_NUM_0008,574,90.47,40.1,5.14
Benzene,c1ccccc1,52.22,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,47.78,,,,,,,2.32,12.22,MIX_SMILES_NUM_0009,472,99.8,20.3,4.96
Ethanol,CCO,42.74,Isopropanol,CC(C)C,57.26,,,,,,,4.06,19.26,MIX_SMILES_NUM_0010,483,86.2,33.3,4.3
