Sample_ID,Compound_1_SMILES,Compound_1_WT%,Compound_2_SMILES,Compound_2_WT%,Compound_3_SMILES,Compound_3_WT%,Compound_4_SMILES,Compound_4_WT%,Compound_5_SMILES,Compound_5_WT%,Compound_6_SMILES,Compound_6_WT%,Compound_7_SMILES,Compound_7_WT%,Compound_8_SMILES,Compound_8_WT%,Compound_9_SMILES,Compound_9_WT%,Compound_10_SMILES,Compound_10_WT%,Target_Property,Notes
MIX001,CCO,10.0,CC1=CC=CC=C1,10.0,c1ccccc1,10.0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,10.0,CC(C)Cc1ccc(cc1)C(C)C(=O)O,10.0,CCC1=CC(=C(C=C1)O)C=O,10.0,CC(C)O,10.0,CC1=CC=CC=C1,10.0,c1ccccc1,10.0,CCO,10.0,3.52,10comp equal
MIX002,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,20.0,CC(C)Cc1ccc(cc1)C(C)C(=O)O,15.0,CCC1=CC(=C(C=C1)O)C=O,15.0,CCO,10.0,CC(C)O,10.0,CC1=CC=CC=C1,10.0,c1ccccc1,10.0,CC1=CC=CC=C1,5.0,CCC1=CC(=C(C=C1)O)C=O,5.0,CC(C)O,10.0,5.68,10comp varied
MIX003,CC(C)O,5.0,CCC1=CC(=C(C=C1)O)C=O,5.0,CCO,10.0,CC1=CC=CC=C1,10.0,c1ccccc1,15.0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,15.0,CC(C)Cc1ccc(cc1)C(C)C(=O)O,15.0,CC1=CC=CC=C1,10.0,c1ccccc1,5.0,CCC1=CC(=C(C=C1)O)C=O,10.0,2.85,10comp varied2
MIX004,c1ccccc1,25.0,CC1=CC=CC=C1,20.0,CCO,15.0,CC(C)O,10.0,CCC1=CC(=C(C=C1)O)C=O,10.0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,5.0,CC(C)Cc1ccc(cc1)C(C)C(=O)O,5.0,CC1=CC=CC=C1,5.0,c1ccccc1,3.0,CCC1=CC(=C(C=C1)O)C=O,2.0,1.95,10comp benzene-rich
MIX005,CCC1=CC(=C(C=C1)O)C=O,30.0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,20.0,CC(C)Cc1ccc(cc1)C(C)C(=O)O,20.0,CC1=CC=CC=C1,10.0,c1ccccc1,5.0,CCO,5.0,CC(C)O,5.0,CCC1=CC(=C(C=C1)O)C=O,3.0,CC1=CC=CC=C1,2.0,4.62,10comp vanillin+caffeine+ibuprofen rich
MIX006,CCO,5.0,CC(C)O,5.0,CC1=CC=CC=C1,10.0,c1ccccc1,10.0,CCC1=CC(=C(C=C1)O)C=O,15.0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,15.0,CC(C)Cc1ccc(cc1)C(C)C(=O)O,15.0,CC1=CC=CC=C1,10.0,c1ccccc1,10.0,CCO,5.0,3.28,10comp varied
MIX007,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,25.0,CC(C)Cc1ccc(cc1)C(C)C(=O)O,25.0,CCC1=CC(=C(C=C1)O)C=O,20.0,CC1=CC=CC=C1,10.0,CCO,5.0,CC(C)O,5.0,c1ccccc1,5.0,CCC1=CC(=C(C=C1)O)C=O,3.0,CC1=CC=CC=C1,2.0,5.68,10comp caffeine+ibuprofen+vanillin rich
MIX008,c1ccccc1,30.0,CC1=CC=CC=C1,20.0,CCO,15.0,CC(C)O,10.0,CCC1=CC(=C(C=C1)O)C=O,5.0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,5.0,CC(C)Cc1ccc(cc1)C(C)C(=O)O,5.0,CC1=CC=CC=C1,5.0,c1ccccc1,3.0,CCC1=CC(=C(C=C1)O)C=O,2.0,1.95,10comp benzene+toluene rich
MIX009,CC(C)O,10.0,CCC1=CC(=C(C=C1)O)C=O,10.0,CCO,10.0,CC1=CC=CC=C1,10.0,c1ccccc1,10.0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,10.0,CC(C)Cc1ccc(cc1)C(C)C(=O)O,10.0,CCC1=CC(=C(C=C1)O)C=O,10.0,CC1=CC=CC=C1,10.0,c1ccccc1,10.0,2.85,10comp equal
MIX010,CC1=CC=CC=C1,15.0,c1ccccc1,15.0,CCO,15.0,CC(C)O,15.0,CCC1=CC(=C(C=C1)O)C=O,10.0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,10.0,CC(C)Cc1ccc(cc1)C(C)C(=O)O,10.0,CC1=CC=CC=C1,5.0,c1ccccc1,3.0,CCC1=CC(=C(C=C1)O)C=O,2.0,2.15,10comp varied
MIX011,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,35.0,CC(C)Cc1ccc(cc1)C(C)C(=O)O,20.0,CCC1=CC(=C(C=C1)O)C=O,15.0,CC1=CC=CC=C1,10.0,c1ccccc1,5.0,CCO,5.0,CC(C)O,5.0,CCC1=CC(=C(C=C1)O)C=O,3.0,CC1=CC=CC=C1,2.0,5.95,10comp caffeine+ibuprofen rich
MIX012,CCC1=CC(=C(C=C1)O)C=O,25.0,CCO,20.0,CC(C)O,15.0,CC1=CC=CC=C1,10.0,c1ccccc1,10.0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,5.0,CC(C)Cc1ccc(cc1)C(C)C(=O)O,5.0,CC1=CC=CC=C1,5.0,c1ccccc1,3.0,CCC1=CC(=C(C=C1)O)C=O,2.0,3.75,10comp vanillin+ethanol+isopropanol rich
MIX013,CC(C)Cc1ccc(cc1)C(C)C(=O)O,40.0,CCC1=CC(=C(C=C1)O)C=O,30.0,CC1=CC=CC=C1,10.0,c1ccccc1,5.0,CCO,5.0,CC(C)O,5.0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,3.0,CC1=CC=CC=C1,2.0,c1ccccc1,0.0,CCC1=CC(=C(C=C1)O)C=O,0.0,6.12,10comp ibuprofen+vanillin dominant
MIX014,c1ccccc1,20.0,CC1=CC=CC=C1,20.0,CCO,20.0,CC(C)O,10.0,CCC1=CC(=C(C=C1)O)C=O,10.0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,10.0,CC(C)Cc1ccc(cc1)C(C)C(=O)O,5.0,CC1=CC=CC=C1,3.0,c1ccccc1,2.0,CCC1=CC(=C(C=C1)O)C=O,0.0,2.05,10comp benzene+toluene+ethanol rich
MIX015,CCO,12.0,CC(C)O,12.0,CC1=CC=CC=C1,12.0,c1ccccc1,12.0,CCC1=CC(=C(C=C1)O)C=O,12.0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,12.0,CC(C)Cc1ccc(cc1)C(C)C(=O)O,12.0,CC1=CC=CC=C1,8.0,c1ccccc1,8.0,CCC1=CC(=C(C=C1)O)C=O,2.0,3.15,10comp balanced
MIX016,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,28.0,CCC1=CC(=C(C=C1)O)C=O,28.0,CC(C)Cc1ccc(cc1)C(C)C(=O)O,15.0,CC1=CC=CC=C1,10.0,CCO,5.0,CC(C)O,5.0,c1ccccc1,3.0,CC1=CC=CC=C1,3.0,CCC1=CC(=C(C=C1)O)C=O,3.0,c1ccccc1,0.0,4.95,10comp caffeine+vanillin+ibuprofen rich
