Notes,Compound_1_SMILES,Compound_1_Name,Compound_1_WT%,Compound_2_SMILES,Compound_2_Name,Compound_2_WT%,Compound_3_SMILES,Compound_3_Name,Compound_3_WT%,Target_Property,Sample_ID,Total_WT%
Synthetic mixture data,CCO,Ethanol,39.44,CC1=CC=CC=C1,Toluene,23.85,c1ccccc1,Benzene,36.7,2.002,MIX0001,99.99
Synthetic mixture data,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,33.74,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,35.56,CCC1=CC(=C(C=C1)O)C=O,Vanillin,30.7,6.936,MIX0002,100
Synthetic mixture data,CC1=CC=CC=C1,Toluene,16.72,c1ccccc1,Benzene,14.79,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,68.49,3.638,MIX0003,100
Synthetic mixture data,CC(C)O,Isopropanol,46.6,CCC1=CC(=C(C=C1)O)C=O,Vanillin,27.93,CC1=CC=CC=C1,Toluene,25.47,3.398,MIX0004,100
Synthetic mixture data,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,24.43,CCC1=CC(=C(C=C1)O)C=O,Vanillin,21.12,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,54.45,-2.469,MIX0005,100
Synthetic mixture data,CC1=CC=CC=C1,Toluene,40.5,CC1=CC=CC=C1,Toluene,27.14,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,32.36,1.257,MIX0006,100
Synthetic mixture data,CC1=CC=CC=C1,Toluene,34.35,CC1=CC=CC=C1,Toluene,44.62,CCO,Ethanol,21.04,5.436,MIX0007,100.01
Synthetic mixture data,CC(C)O,Isopropanol,41.92,CCC1=CC(=C(C=C1)O)C=O,Vanillin,46.35,CC1=CC=CC=C1,Toluene,11.73,5.129,MIX0008,100
Synthetic mixture data,CC(C)O,Isopropanol,39.44,c1ccccc1,Benzene,34.07,CC1=CC=CC=C1,Toluene,26.5,3.106,MIX0009,100.01
Synthetic mixture data,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,24.15,CC1=CC=CC=C1,Toluene,23.61,CC1=CC=CC=C1,Toluene,52.24,3.017,MIX0010,100
Synthetic mixture data,c1ccccc1,Benzene,38.39,c1ccccc1,Benzene,16.87,CC1=CC=CC=C1,Toluene,44.74,0.688,MIX0011,100
Synthetic mixture data,CC1=CC=CC=C1,Toluene,32.44,c1ccccc1,Benzene,49.31,CC1=CC=CC=C1,Toluene,18.26,1.937,MIX0012,100.01
Synthetic mixture data,CC(=O)Oc1ccccc1C(=O)O,Aspirin,35.87,CC(=O)Oc1ccccc1C(=O)O,Aspirin,27.82,CC(=O)Oc1ccccc1C(=O)O,Aspirin,36.31,3.403,MIX0013,100
Synthetic mixture data,CC1=CC=CC=C1,Toluene,38.86,CCC1=CC(=C(C=C1)O)C=O,Vanillin,24.69,CC(=O)Oc1ccccc1C(=O)O,Aspirin,36.45,1.96,MIX0014,100
