Sample_ID,Compound_1_Name,Compound_2_Name,Compound_3_Name,Total_WT%,Notes,Compound_1_SMILES,Compound_1_WT%,Compound_2_SMILES,Compound_2_WT%,Compound_3_SMILES,Compound_3_WT%,Target_Property
MIX0001,Ethanol,Toluene,Benzene,99.99,Synthetic mixture data,CCO,39.44,CC1=CC=CC=C1,23.85,c1ccccc1,36.7,2.002
MIX0002,Caffeine,Ibuprofen,Vanillin,100,Synthetic mixture data,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,33.74,CC(C)Cc1ccc(cc1)C(C)C(=O)O,35.56,CCC1=CC(=C(C=C1)O)C=O,30.7,6.936
MIX0003,Toluene,Benzene,Ibuprofen,100,Synthetic mixture data,CC1=CC=CC=C1,16.72,c1ccccc1,14.79,CC(C)Cc1ccc(cc1)C(C)C(=O)O,68.49,3.638
MIX0004,Isopropanol,Vanillin,Toluene,100,Synthetic mixture data,CC(C)O,46.6,CCC1=CC(=C(C=C1)O)C=O,27.93,CC1=CC=CC=C1,25.47,3.398
MIX0005,Caffeine,Vanillin,Caffeine,100,Synthetic mixture data,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,24.43,CCC1=CC(=C(C=C1)O)C=O,21.12,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,54.45,-2.469
MIX0006,Toluene,Toluene,Ibuprofen,100,Synthetic mixture data,CC1=CC=CC=C1,40.5,CC1=CC=CC=C1,27.14,CC(C)Cc1ccc(cc1)C(C)C(=O)O,32.36,1.257
MIX0007,Toluene,Toluene,Ethanol,100.01,Synthetic mixture data,CC1=CC=CC=C1,34.35,CC1=CC=CC=C1,44.62,CCO,21.04,5.436
MIX0008,Isopropanol,Vanillin,Toluene,100,Synthetic mixture data,CC(C)O,41.92,CCC1=CC(=C(C=C1)O)C=O,46.35,CC1=CC=CC=C1,11.73,5.129
MIX0009,Isopropanol,Benzene,Toluene,100.01,Synthetic mixture data,CC(C)O,39.44,c1ccccc1,34.07,CC1=CC=CC=C1,26.5,3.106
MIX0010,Caffeine,Toluene,Toluene,100,Synthetic mixture data,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,24.15,CC1=CC=CC=C1,23.61,CC1=CC=CC=C1,52.24,3.017
MIX0011,Benzene,Benzene,Toluene,100,Synthetic mixture data,c1ccccc1,38.39,c1ccccc1,16.87,CC1=CC=CC=C1,44.74,0.688
MIX0012,Toluene,Benzene,Toluene,100.01,Synthetic mixture data,CC1=CC=CC=C1,32.44,c1ccccc1,49.31,CC1=CC=CC=C1,18.26,1.937
MIX0013,Aspirin,Aspirin,Aspirin,100,Synthetic mixture data,CC(=O)Oc1ccccc1C(=O)O,35.87,CC(=O)Oc1ccccc1C(=O)O,27.82,CC(=O)Oc1ccccc1C(=O)O,36.31,3.403
MIX0014,Toluene,Vanillin,Aspirin,100,Synthetic mixture data,CC1=CC=CC=C1,38.86,CCC1=CC(=C(C=C1)O)C=O,24.69,CC(=O)Oc1ccccc1C(=O)O,36.45,1.96
MIX0015,Benzene,Vanillin,Ibuprofen,100,Synthetic mixture data,c1ccccc1,12.98,CCC1=CC(=C(C=C1)O)C=O,53.56,CC(C)Cc1ccc(cc1)C(C)C(=O)O,33.46,1.381
MIX0016,Vanillin,Isopropanol,Benzene,99.99,Synthetic mixture data,CCC1=CC(=C(C=C1)O)C=O,24.29,CC(C)O,36.13,c1ccccc1,39.57,3.395
MIX0017,Benzene,Ethanol,Benzene,100,Synthetic mixture data,c1ccccc1,22.28,CCO,25.34,c1ccccc1,52.38,2.749
MIX0018,Isopropanol,Ethanol,Aspirin,100.01,Synthetic mixture data,CC(C)O,44.68,CCO,32.98,CC(=O)Oc1ccccc1C(=O)O,22.35,0.949
MIX0019,Isopropanol,Toluene,Toluene,100,Synthetic mixture data,CC(C)O,54.56,CC1=CC=CC=C1,15.25,CC1=CC=CC=C1,30.19,2.466
MIX0020,Isopropanol,Isopropanol,Vanillin,100,Synthetic mixture data,CC(C)O,30.73,CC(C)O,26.22,CCC1=CC(=C(C=C1)O)C=O,43.05,-1.906
MIX0021,Vanillin,Isopropanol,Isopropanol,100,Synthetic mixture data,CCC1=CC(=C(C=C1)O)C=O,59.44,CC(C)O,10.28,CC(C)O,30.28,4.205
MIX0022,Vanillin,Ethanol,Toluene,100.01,Synthetic mixture data,CCC1=CC(=C(C=C1)O)C=O,39.1,CCO,44.95,CC1=CC=CC=C1,15.96,4.558
MIX0023,Vanillin,Benzene,Toluene,100,Synthetic mixture data,CCC1=CC(=C(C=C1)O)C=O,16.87,c1ccccc1,71.65,CC1=CC=CC=C1,11.48,4.828
MIX0024,Vanillin,Benzene,Vanillin,100,Synthetic mixture data,CCC1=CC(=C(C=C1)O)C=O,29.32,c1ccccc1,37.37,CCC1=CC(=C(C=C1)O)C=O,33.31,3.188
