Sample_ID,Compound_1_Name,Compound_2_Name,Compound_3_Name,Compound_1_SMILES,Compound_1_WT%,Compound_2_SMILES,Compound_2_WT%,Compound_3_SMILES,Compound_3_WT%,Temperature_C,Humidity_pct,Pressure_atm,pH,StirringSpeed_rpm,ReactionTime_h,Boiling_Point_C(Target)
MIX_DBG0001,Aspirin,Toluene,Ethanol,CC(=O)Oc1ccccc1C(=O)O,42.27,CC1=CC=CC=C1,30.36,CCO,27.37,50.38,72.9,1.774,6.31,428,9.95,2.358
MIX_DBG0002,Toluene,Ibuprofen,Toluene,CC1=CC=CC=C1,14.96,CC(C)Cc1ccc(cc1)C(C)C(=O)O,47.09,CC1=CC=CC=C1,37.95,78.36,83.73,1.21,9.34,177.6,13.21,4.638
MIX_DBG0003,Ethanol,Caffeine,Toluene,CCO,21.78,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,9.23,CC1=CC=CC=C1,68.99,59.88,35,1.997,4,408.8,10.31,2.63
MIX_DBG0004,Benzene,Caffeine,Vanillin,c1ccccc1,17.5,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,33.38,CCC1=CC(=C(C=C1)O)C=O,49.12,71.45,82.2,1.933,6.83,927.5,20.28,5.619
MIX_DBG0005,Caffeine,Caffeine,Isopropanol,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,58.91,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,17.18,CC(C)O,23.91,20.12,83.11,1.194,5.69,106.7,13.24,-0.89
MIX_DBG0006,Isopropanol,Caffeine,Vanillin,CC(C)O,27.6,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,38.28,CCC1=CC(=C(C=C1)O)C=O,34.13,45.54,53.6,1.937,7.13,557.1,19.22,3.63
MIX_DBG0007,Aspirin,Vanillin,Ethanol,CC(=O)Oc1ccccc1C(=O)O,14.05,CCC1=CC(=C(C=C1)O)C=O,30.85,CCO,55.1,40.34,46.46,1.262,7.26,176.2,0.71,-2.107
MIX_DBG0008,Toluene,Ethanol,Aspirin,CC1=CC=CC=C1,13.76,CCO,18.85,CC(=O)Oc1ccccc1C(=O)O,67.4,54.34,82.28,1.441,5.3,742.4,5.52,5.216
MIX_DBG0009,Vanillin,Ethanol,Ibuprofen,CCC1=CC(=C(C=C1)O)C=O,35.46,CCO,38.59,CC(C)Cc1ccc(cc1)C(C)C(=O)O,25.95,35.6,81.46,0.88,5.6,123.3,23.26,0.213
MIX_DBG0010,Caffeine,Isopropanol,Ethanol,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,32.86,CC(C)O,9.79,CCO,57.35,63.24,60.54,1.141,7.37,430.3,9.42,1.233
MIX_DBG0011,Vanillin,Ethanol,Ethanol,CCC1=CC(=C(C=C1)O)C=O,61.89,CCO,21.4,CCO,16.71,72.28,45.45,1.036,7.8,782.2,7.67,4.197
MIX_DBG0012,Toluene,Benzene,Vanillin,CC1=CC=CC=C1,14,c1ccccc1,42.26,CCC1=CC(=C(C=C1)O)C=O,43.74,24.63,71.87,1.162,4.75,903.1,22.59,2.149
MIX_DBG0013,Caffeine,Benzene,Ibuprofen,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,20.1,c1ccccc1,59.17,CC(C)Cc1ccc(cc1)C(C)C(=O)O,20.73,27.44,41.38,0.996,5.42,449.4,2.63,2.832
MIX_DBG0014,Aspirin,Toluene,Toluene,CC(=O)Oc1ccccc1C(=O)O,49.57,CC1=CC=CC=C1,31.52,CC1=CC=CC=C1,18.91,47.48,88.53,1.263,8.53,422.5,7.46,4.519
MIX_DBG0015,Benzene,Caffeine,Aspirin,c1ccccc1,52.78,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,33.34,CC(=O)Oc1ccccc1C(=O)O,13.89,31.12,88.13,1.831,6.17,913.2,8.74,3.004
MIX_DBG0016,Aspirin,Ibuprofen,Benzene,CC(=O)Oc1ccccc1C(=O)O,30.35,CC(C)Cc1ccc(cc1)C(C)C(=O)O,32.94,c1ccccc1,36.71,62.22,59.54,0.875,7.66,464.5,12.33,3.048
MIX_DBG0017,Ethanol,Ibuprofen,Vanillin,CCO,17.41,CC(C)Cc1ccc(cc1)C(C)C(=O)O,68.07,CCC1=CC(=C(C=C1)O)C=O,14.52,67.34,58.01,1.077,4.97,781.3,10.73,6.81
MIX_DBG0018,Vanillin,Toluene,Toluene,CCC1=CC(=C(C=C1)O)C=O,29.64,CC1=CC=CC=C1,59.54,CC1=CC=CC=C1,10.82,70.06,59.11,0.979,8.94,812.8,6.2,5.029
MIX_DBG0019,Ibuprofen,Toluene,Caffeine,CC(C)Cc1ccc(cc1)C(C)C(=O)O,49.64,CC1=CC=CC=C1,25.17,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,25.19,47.98,74.22,1.485,8.86,842.9,19.96,0.902
MIX_DBG0020,Ethanol,Ethanol,Caffeine,CCO,22.47,CCO,33.18,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,44.35,77.39,87.05,1.087,8.99,812.8,22.88,4.129
MIX_DBG0021,Benzene,Toluene,Benzene,c1ccccc1,41.59,CC1=CC=CC=C1,18.54,c1ccccc1,39.87,50.64,88.27,0.808,9.59,787.9,12.91,3.39
MIX_DBG0022,Caffeine,Benzene,Ethanol,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,28.29,c1ccccc1,44.95,CCO,26.76,58.36,66.06,1.755,8.72,902.4,10.98,1.976
MIX_DBG0023,Aspirin,Ethanol,Isopropanol,CC(=O)Oc1ccccc1C(=O)O,54.1,CCO,30.79,CC(C)O,15.11,48.06,45.99,1.5,6.81,647.6,9.96,1.453
MIX_DBG0024,Ethanol,Isopropanol,Benzene,CCO,10.48,CC(C)O,52.97,c1ccccc1,36.55,78.21,73.8,1.827,7.73,320.8,16.38,7.234
MIX_DBG0025,Vanillin,Caffeine,Ethanol,CCC1=CC(=C(C=C1)O)C=O,16.19,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,61.91,CCO,21.9,56.43,80.28,1.191,5,514.7,6.9,3.494
MIX_DBG0026,Ibuprofen,Ibuprofen,Vanillin,CC(C)Cc1ccc(cc1)C(C)C(=O)O,50.15,CC(C)Cc1ccc(cc1)C(C)C(=O)O,29.09,CCC1=CC(=C(C=C1)O)C=O,20.76,38.72,66.45,1.025,7.89,260.8,20.13,2.821
MIX_DBG0027,Aspirin,Benzene,Vanillin,CC(=O)Oc1ccccc1C(=O)O,29.18,c1ccccc1,27.98,CCC1=CC(=C(C=C1)O)C=O,42.84,30.82,67.18,1.932,6.33,571.6,19.94,4.977
MIX_DBG0028,Isopropanol,Toluene,Aspirin,CC(C)O,32.01,CC1=CC=CC=C1,44.4,CC(=O)Oc1ccccc1C(=O)O,23.59,35.73,33.45,1.435,6.21,608.6,8.84,2.359
MIX_DBG0029,Ibuprofen,Vanillin,Isopropanol,CC(C)Cc1ccc(cc1)C(C)C(=O)O,34.68,CCC1=CC(=C(C=C1)O)C=O,34.45,CC(C)O,30.87,33.74,72.42,1.721,7.19,891,13.05,2.558
MIX_DBG0030,Ethanol,Vanillin,Isopropanol,CCO,30.4,CCC1=CC(=C(C=C1)O)C=O,39,CC(C)O,30.6,42.41,42.85,1.931,8.42,812.1,3.22,-0.061
MIX_DBG0031,Benzene,Caffeine,Ibuprofen,c1ccccc1,46.88,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,44.48,CC(C)Cc1ccc(cc1)C(C)C(=O)O,8.64,49.15,35.28,1.795,5.55,254.7,12.43,3.783
MIX_DBG0032,Caffeine,Ibuprofen,Aspirin,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,18.07,CC(C)Cc1ccc(cc1)C(C)C(=O)O,54.76,CC(=O)Oc1ccccc1C(=O)O,27.16,43.11,82.74,1.282,9.99,470.1,18.08,1.6
MIX_DBG0033,Isopropanol,Benzene,Vanillin,CC(C)O,26.14,c1ccccc1,37.41,CCC1=CC(=C(C=C1)O)C=O,36.45,51.28,35.36,1.881,6.03,332.4,10.37,3.085
MIX_DBG0034,Benzene,Ibuprofen,Ibuprofen,c1ccccc1,11.13,CC(C)Cc1ccc(cc1)C(C)C(=O)O,35.53,CC(C)Cc1ccc(cc1)C(C)C(=O)O,53.34,52.13,67.74,1.171,6.02,193.3,17.39,0.827
MIX_DBG0035,Aspirin,Benzene,Ibuprofen,CC(=O)Oc1ccccc1C(=O)O,56.88,c1ccccc1,29.99,CC(C)Cc1ccc(cc1)C(C)C(=O)O,13.13,37.17,78.19,1.513,9.71,293.2,7.22,-0.349
MIX_DBG0036,Benzene,Benzene,Benzene,c1ccccc1,32.68,c1ccccc1,38.9,c1ccccc1,28.42,36.42,56.57,1.381,9.17,286.5,15.72,4.675
