Sample_ID,Compound_1_SMILES,Compound_1_WT%,Compound_2_SMILES,Compound_2_WT%,Compound_3_SMILES,Compound_3_WT%,Compound_4_SMILES,Compound_4_WT%,Compound_5_SMILES,Compound_5_WT%,Compound_6_SMILES,Compound_6_WT%,Target_Property,Notes
MIX001,CCO,15.00,CC1=CC=CC=C1,15.00,c1ccccc1,15.00,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,20.00,CC(C)Cc1ccc(cc1)C(C)C(=O)O,20.00,CCC1=CC(=C(C=C1)O)C=O,15.00,3.520,6comp equal-ish
MIX002,CC(C)O,10.00,CCC1=CC(=C(C=C1)O)C=O,15.00,CCO,20.00,CC1=CC=CC=C1,25.00,c1ccccc1,18.00,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,12.00,2.850,6comp varied
MIX003,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,30.00,CC(C)Cc1ccc(cc1)C(C)C(=O)O,25.00,CC1=CC=CC=C1,15.00,CCC1=CC(=C(C=C1)O)C=O,15.00,CCO,10.00,CC(C)O,5.00,5.680,6comp caffeine-rich
MIX004,c1ccccc1,40.00,CC1=CC=CC=C1,20.00,CCO,10.00,CC(C)O,10.00,CCC1=CC(=C(C=C1)O)C=O,10.00,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,10.00,1.950,6comp benzene-rich
MIX005,CCC1=CC(=C(C=C1)O)C=O,25.00,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,20.00,CC(C)Cc1ccc(cc1)C(C)C(=O)O,20.00,CC1=CC=CC=C1,15.00,c1ccccc1,12.00,CCO,8.00,4.620,6comp vanillin-rich
MIX006,CCO,8.00,CC(C)O,8.00,CC1=CC=CC=C1,17.00,c1ccccc1,17.00,CCC1=CC(=C(C=C1)O)C=O,25.00,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,25.00,3.280,6comp vanillin+caffeine rich
MIX007,CC(C)Cc1ccc(cc1)C(C)C(=O)O,35.00,CCC1=CC(=C(C=C1)O)C=O,35.00,CCO,5.00,CC(C)O,5.00,CC1=CC=CC=C1,10.00,c1ccccc1,10.00,5.950,6comp ibuprofen+vanillin rich
MIX008,c1ccccc1,12.00,CC1=CC=CC=C1,12.00,CCO,12.00,CC(C)O,22.00,CCC1=CC(=C(C=C1)O)C=O,22.00,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,22.00,2.150,6comp toluene+vanillin+caffeine rich
MIX009,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,18.00,CCO,18.00,CC(C)O,18.00,CC1=CC=CC=C1,18.00,c1ccccc1,18.00,CCC1=CC(=C(C=C1)O)C=O,18.00,3.750,6comp equal
MIX010,CCC1=CC(=C(C=C1)O)C=O,40.00,CC(C)Cc1ccc(cc1)C(C)C(=O)O,30.00,CC1=CC=CC=C1,10.00,c1ccccc1,5.00,CCO,5.00,CC(C)O,5.00,6.120,6comp vanillin+ibuprofen rich
MIX011,CCO,25.00,c1ccccc1,20.00,CC1=CC=CC=C1,20.00,CC(C)O,15.00,CCC1=CC(=C(C=C1)O)C=O,10.00,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,10.00,2.680,6comp ethanol+benzene+toluene rich
MIX012,CC(C)O,5.00,CCC1=CC(=C(C=C1)O)C=O,5.00,CCO,15.00,CC1=CC=CC=C1,25.00,c1ccccc1,25.00,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,25.00,2.420,6comp toluene+benzene+caffeine rich
MIX013,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,50.00,CC(C)Cc1ccc(cc1)C(C)C(=O)O,20.00,CCC1=CC(=C(C=C1)O)C=O,10.00,CC1=CC=CC=C1,10.00,CCO,5.00,CC(C)O,5.00,6.350,6comp caffeine dominant
MIX014,CC1=CC=CC=C1,13.00,c1ccccc1,13.00,CCC1=CC(=C(C=C1)O)C=O,13.00,CC(C)Cc1ccc(cc1)C(C)C(=O)O,13.00,CCO,24.00,CC(C)O,24.00,2.050,6comp ethanol+isopropanol rich
MIX015,CCO,10.00,CC(C)O,10.00,CC1=CC=CC=C1,10.00,c1ccccc1,20.00,CCC1=CC(=C(C=C1)O)C=O,25.00,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,25.00,3.150,6comp vanillin+caffeine rich
MIX016,CCC1=CC(=C(C=C1)O)C=O,15.00,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,15.00,CC(C)Cc1ccc(cc1)C(C)C(=O)O,15.00,CCO,15.00,CC(C)O,20.00,CC1=CC=CC=C1,20.00,4.880,6comp toluene+isopropanol rich
MIX017,c1ccccc1,30.00,CC1=CC=CC=C1,30.00,CCO,10.00,CC(C)O,10.00,CCC1=CC(=C(C=C1)O)C=O,10.00,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,10.00,2.250,6comp benzene+toluene rich
MIX018,CC(C)Cc1ccc(cc1)C(C)C(=O)O,45.00,CC1=CC=CC=C1,20.00,c1ccccc1,15.00,CCC1=CC(=C(C=C1)O)C=O,10.00,CCO,5.00,CC(C)O,5.00,5.420,6comp ibuprofen dominant
MIX019,CCO,20.00,CCC1=CC(=C(C=C1)O)C=O,20.00,CC1=CC=CC=C1,20.00,c1ccccc1,20.00,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,10.00,CC(C)O,10.00,3.080,6comp balanced
MIX020,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,25.00,CCC1=CC(=C(C=C1)O)C=O,25.00,CC(C)Cc1ccc(cc1)C(C)C(=O)O,25.00,CC1=CC=CC=C1,8.00,CCO,8.00,CC(C)O,9.00,4.950,6comp 3-rich
MIX021,CC(C)O,12.00,CCO,12.00,CC1=CC=CC=C1,12.00,c1ccccc1,12.00,CCC1=CC(=C(C=C1)O)C=O,26.00,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,26.00,3.620,6comp vanillin+caffeine rich
MIX022,CC1=CC=CC=C1,35.00,c1ccccc1,35.00,CC(C)Cc1ccc(cc1)C(C)C(=O)O,10.00,CCC1=CC(=C(C=C1)O)C=O,5.00,CCO,5.00,CC(C)O,10.00,1.880,6comp toluene+benzene rich
MIX023,CCC1=CC(=C(C=C1)O)C=O,50.00,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,20.00,CCO,10.00,CC(C)O,10.00,CC1=CC=CC=C1,5.00,c1ccccc1,5.00,5.780,6comp vanillin dominant
MIX024,c1ccccc1,15.00,CCO,15.00,CC(C)O,15.00,CC1=CC=CC=C1,15.00,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,20.00,CCC1=CC(=C(C=C1)O)C=O,20.00,2.920,6comp vanillin+caffeine rich
MIX025,CC(C)Cc1ccc(cc1)C(C)C(=O)O,33.00,CCC1=CC(=C(C=C1)O)C=O,33.00,CC1=CC=CC=C1,5.00,c1ccccc1,5.00,CCO,12.00,CC(C)O,12.00,5.250,6comp ibuprofen+vanillin rich
