Compound_Name,SMILES,logS,MolecularWeight,NumAtoms
Compound_001,CC(=O)Oc1ccccc1C(=O)O,-2.987,249.81604753894499,36
Compound_002,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-2.948,480.2857225639665,43
Compound_003,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-1.891,392.797576724562,36
Compound_004,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-3.395,339.46339367881467,8
Compound_005,CCO,-0.258,162.40745617697462,34
Compound_006,CC(C)O,-0.723,162.39780813448107,41
Compound_007,CC(C)(C)O,-0.629,123.23344486727979,27
Compound_008,c1ccccc1,-1.302,446.47045830997405,43
Compound_009,CC1=CC=CC=C1,-1.299,340.4460046972835,49
Compound_010,CC1=CC2=C(C=C1C=O)C(=O)C3=C(O2)C=CC(=C3)O,-3.961,383.2290311184182,19
Compound_011,CCC1=CC(=C(C=C1)O)C=O,-2.671,108.23379771832097,47
Compound_012,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-12.756,487.96394086479773,33
Compound_013,C1CC1C1CC1C1CC1,-1.698,432.9770563201687,40
Compound_014,CC(=O)Oc1ccccc1C(=O)O,-3.109,184.93564427131048,17
Compound_015,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-2.922,172.72998688284025,36
Compound_016,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-2.284,173.36180394137352,11
Compound_017,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-2.657,221.69689718381508,26
Compound_018,CCO,-0.436,309.9025726528952,32
Compound_019,CC(C)O,-1.135,272.7780074568463,6
Compound_020,CC(C)(C)O,-0.731,216.49165607921677,46
Compound_021,c1ccccc1,-1.007,344.74115788895176,49
Compound_022,CC1=CC=CC=C1,-2.325,155.79754426081672,10
Compound_023,CC1=CC2=C(C=C1C=O)C(=O)C3=C(O2)C=CC(=C3)O,-3.716,216.85785941408727,32
Compound_024,CCC1=CC(=C(C=C1)O)C=O,-2.105,246.5447373174767,32
Compound_025,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-12.772,282.4279936868144,48
Compound_026,C1CC1C1CC1C1CC1,-2.399,414.07038455720544,48
Compound_027,CC(=O)Oc1ccccc1C(=O)O,-2.186,179.8695128633439,24
Compound_028,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-2.77,305.69377536544465,34
Compound_029,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-1.719,336.965827544817,15
Compound_030,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-3.04,118.58016508799909,32
Compound_031,CCO,-0.674,343.01794076057536,29
Compound_032,CC(C)O,-0.588,168.2096494749166,43
Compound_033,CC(C)(C)O,-1.098,126.0206371941118,37
Compound_034,c1ccccc1,-1.483,479.5542149013333,5
Compound_035,CC1=CC=CC=C1,-1.313,486.25281322982374,31
Compound_036,CC1=CC2=C(C=C1C=O)C(=O)C3=C(O2)C=CC(=C3)O,-3.481,423.35893924658444,17
Compound_037,CCC1=CC(=C(C=C1)O)C=O,-1.998,221.84550766934828,45
Compound_038,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-12.973,139.06884560255355,7
Compound_039,C1CC1C1CC1C1CC1,-1.993,373.69321060486277,43
Compound_040,CC(=O)Oc1ccccc1C(=O)O,-1.918,276.0609974958405,10
Compound_041,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-3.359,148.81529393791152,12
Compound_042,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-1.661,298.0707640445081,31
Compound_043,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-3.364,113.75540844608736,13
Compound_044,CCO,-0.259,463.7281608315128,41
Compound_045,CC(C)O,-1.259,203.51199264000678,37
Compound_046,CC(C)(C)O,-1.05,365.0089137415928,46
Compound_047,c1ccccc1,-1.658,224.6844304357644,48
Compound_048,CC1=CC=CC=C1,-1.407,308.0272084711243,28
Compound_049,CC1=CC2=C(C=C1C=O)C(=O)C3=C(O2)C=CC(=C3)O,-4.011,318.68411173731187,19
