Compound_Name,SMILES,logS
Compound_001,CC(=O)Oc1ccccc1C(=O)O,-2.57
Compound_002,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-3.431
Compound_003,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-2.112
Compound_004,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-3.323
Compound_005,CCO,-0.946
Compound_006,CC(C)O,-0.8
Compound_007,CC(C)(C)O,-1.07
Compound_008,c1ccccc1,-1.338
Compound_009,CC1=CC=CC=C1,-1.204
Compound_010,CC1=CC2=C(C=C1C=O)C(=O)C3=C(O2)C=CC(=C3)O,-3.725
Compound_011,CCC1=CC(=C(C=C1)O)C=O,-2.47
Compound_012,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-12.573
Compound_013,C1CC1C1CC1C1CC1,-2.271
Compound_014,CC(=O)Oc1ccccc1C(=O)O,-2.701
Compound_015,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-2.723
Compound_016,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-2.055
Compound_017,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-3.61
Compound_018,CCO,-0.053
Compound_019,CC(C)O,-0.989
Compound_020,CC(C)(C)O,-0.717
Compound_021,c1ccccc1,-2.067
Compound_022,CC1=CC=CC=C1,-1.538
Compound_023,CC1=CC2=C(C=C1C=O)C(=O)C3=C(O2)C=CC(=C3)O,-3.918
Compound_024,CCC1=CC(=C(C=C1)O)C=O,-2.5
Compound_025,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-12.602
