SMILES,Target_Regression,Target_Classification
CC(=O)Oc1ccccc1C(=O)O,1.25,0
CC1=CC=CC=C1,2.34,1
CCO,0.89,0
CC(=O)O,1.56,1
c1ccccc1,2.12,0
CC(C)C,1.78,1
CC=C,0.95,0
CC#C,1.43,1
CC(Cl)Cl,2.01,0
CCBr,1.67,1
CCI,0.88,0
CCF,1.34,1
CCN,2.23,0
CCOCC,1.91,1
CC(=O)C,0.76,0
CC(=O)N,1.58,1
c1ccc2ccccc2c1,2.45,0
CC(C)(C)C,1.12,1
CC1CC1,0.94,0
C1CCC1,1.87,1
CC1=CC=CC=C1,2.09,0
CC=Cc1ccccc1,1.73,1
CC(=O)Oc1ccccc1,0.82,0
c1ccc(cc1)C(=O)O,1.96,1
CCN(CC)CC,2.31,0
c1cc2ccccc2cc1,2.67,1
CC(O)c1ccccc1,1.44,0
CC(=O)c1ccccc1,1.88,1
c1ccc(N)cc1,1.02,0
c1ccc(O)cc1,1.63,1
CCOC(=O)c1ccccc1,2.19,0
CCc1ccccc1,2.05,1
c1ccc(F)cc1,1.37,0
c1ccc(Cl)cc1,1.82,1
c1ccc(Br)cc1,1.99,0
c1ccc(I)cc1,2.41,1
CC(C)c1ccccc1,2.28,0
c1ccc(-c2ccccc2)cc1,3.01,1
c1ccc(CC)cc1,2.17,0
c1ccc(OC)cc1,1.55,1
c1ccc(NC(=O)C)cc1,1.23,0
c1ccc(C(=O)N)cc1,0.94,1
CCCc1ccccc1,2.39,0
c1ccc(S)cc1,1.74,1
c1cc(C)cc(C)c1,2.53,0
c1ccc2[nH]ccc2c1,1.67,1
c1ccc(C#N)cc1,1.48,0
c1ccc(NO2)cc1,1.31,1
CC1=CC=CC=C1C,2.71,0
c1ccc(CC(=O)O)cc1,1.39,1
CCCCCC,2.56,0
CCCCC,2.21,1
CCCC,1.87,0
CCC,1.43,1
CC(CC)CC,2.33,0
CCC(C)CC,2.48,1
CCCCCO,1.55,0
CCCO,1.12,1
CC(O)CC,1.29,0
CCC(O)C,1.18,1
OCC(O)CO,0.43,0
CC(=O)CC(=O)C,1.09,1
CC1CCCCC1,2.01,0
C1CCCCCC1,1.94,1
C1CCCCC1,1.79,0
CC1=CCCCC1,1.96,1
c1ccncc1,1.01,0
c1ccccn1,1.08,1
c1ccoc1,0.87,0
c1ccsc1,1.33,1
c1cc[nH]c1,0.76,0
c1cnccn1,0.91,1
CN1CCCC1=O,1.14,0
C1CCN(CC1)C(=O)c1ccccc1,2.37,1
CC(=O)Nc1ccccc1,1.45,0
CC(=O)Nc1ccc(O)cc1,1.21,1
c1ccc(NC(=O)c2ccccc2)cc1,2.73,0
CC1=CN=C(N)N=C1N,0.68,1
Nc1ccc(S(=O)(=O)N)cc1,0.47,0
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,3.41,1
Clc1ccc(cc1Cl)C(c1ccc(Cl)cc1Cl)C(Cl)(Cl)Cl,4.89,0
OC(=O)c1ccccc1O,1.61,1
OC(=O)c1cccc(O)c1,1.56,0
OC(=O)c1ccc(O)cc1,1.49,1
OC(=O)CCCC(=O)O,0.78,0
OC(=O)CC(=O)O,0.51,1
OC(=O)CCC(=O)O,0.64,0
OC(=O)c1ccc(C(=O)O)cc1,1.07,1
CC(=O)OCC,0.98,0
CC(=O)OCCC,1.27,1
CC(=O)OCCCC,1.56,0
CCCOC(=O)C,1.42,1
CC(=O)OC(C)C,1.31,0
CC(=O)OC(C)(C)C,1.68,1
CN(C)C,0.93,0
CCN(C)C,1.21,1
CCN(CC)C,1.57,0
CCN(CC)CC,1.89,1
CC(N)C,0.84,0
