SMILES,target_value
CCO,5.993428306022466
CC(=O)O,4.72347139765763
c1ccccc1,6.295377076201385
CC(C)O,8.046059712816051
CCCO,4.531693250553328
CC=O,4.531726086101639
c1ccc(O)cc1,8.158425631014783
CC(=O)OC,6.534869458305818
CCOC,4.061051228130096
CCN,6.085120087171929
CC(C)(C)O,4.0731646143750755
c1ccc(N)cc1,4.068540492859486
OC(=O)c1ccccc1,5.483924543132068
CCOCC,1.1734395106844042
CC(O)CC,1.5501643349739345
c1ccc(Cl)cc1,3.8754249415180544
CC(=O)N,2.9743377593311524
CCCCCO,5.628494665190548
c1ccc(F)cc1,3.1839518489575784
CC(C)=O,2.175392597329417
OCCO,7.931297537843108
c1ccncc1,4.548447399026928
CC(=O)CC,5.1350564093758475
CCCCO,2.1505036275730864
c1ccc(C)cc1,3.9112345509496347
